postcode,state,region,area_type,sales_channel,customer_type,customer_segment,product_category,marketing_channel,device_type,fulfilment_type,discount_code_used,orders_2025,orders_2026,customers_2025,customers_2026,units_sold_2025,units_sold_2026,gross_sales_2025,gross_sales_2026,discounts_2025,discounts_2026,refunds_2025,refunds_2026,net_sales_2025,net_sales_2026,average_order_value_2025,average_order_value_2026,conversion_rate_2025,conversion_rate_2026,return_rate_2025,return_rate_2026,repeat_customer_rate_2025,repeat_customer_rate_2026
0800,NT,Darwin,Metro,Online Store,New,High value,Home & Lifestyle,Direct,Mobile,Express Shipping,No,4,5,3,3,5,6,984.12,1219.1,69.99,71.8,42.26,78.45,871.87,1068.84,217.97,213.77,3.03%,3.43%,6.29%,7.73%,8.35%,13.07%
0800,NT,Darwin,Metro,Online Store,New,At risk,Footwear,Paid Social,Desktop,Standard Shipping,Yes,6,7,4,5,6,8,1905.4,2262.27,194.6,245.21,195.02,217.88,1515.79,1799.18,252.63,257.03,2.72%,2.94%,16.07%,17.47%,8.87%,13.55%
0800,NT,Darwin,Metro,Online Store,New,Reactivated,Accessories,Direct,Desktop,Standard Shipping,Yes,56,62,42,47,106,127,4868.6,5695.07,491.79,620.11,138.6,222.66,4238.21,4852.3,75.68,78.26,1.40%,1.52%,5.01%,5.27%,15.98%,19.81%
0800,NT,Darwin,Metro,Online Store,New,New customer,Apparel,Email / SMS,Mobile,Standard Shipping,No,9,10,7,7,14,15,1712.57,1926.32,184.31,164.21,142.76,163.78,1385.49,1598.34,153.94,159.83,5.03%,5.18%,11.69%,13.01%,21.29%,21.75%
0812,NT,Darwin,Metro,Social Commerce,New,Active,Apparel,Paid Social,Mobile,Express Shipping,No,24,28,21,19,35,42,5303.6,6180.28,795.13,857.38,513.79,547.25,3994.68,4775.65,166.44,170.56,2.21%,2.18%,12.23%,13.00%,7.83%,13.03%
0812,NT,Darwin,Metro,Online Store,Returning,At risk,Footwear,Paid Search,Mobile,Standard Shipping,No,8,9,7,8,8,9,2548.21,3114.1,122.53,142.92,223.95,230.55,2201.74,2740.63,275.22,304.51,1.93%,1.95%,12.69%,11.10%,73.87%,80.81%
0812,NT,Darwin,Metro,Online Store,Returning,Active,Home & Lifestyle,Paid Social,Mobile,Standard Shipping,Yes,11,13,9,9,15,18,2576.02,3394.12,333.51,499.9,57.0,115.67,2185.5,2778.55,198.68,213.73,3.01%,3.30%,3.07%,4.85%,61.84%,65.64%
0812,NT,Darwin,Metro,Retail POS,New,New customer,Home & Lifestyle,Paid Social,Mobile,Standard Shipping,No,47,49,36,37,64,71,8200.83,9098.68,745.43,863.5,395.09,407.75,7060.31,7827.43,150.22,159.74,4.31%,4.17%,7.03%,7.74%,16.68%,22.27%
0822,NT,Darwin,Metro,Social Commerce,Returning,Active,Footwear,Email / SMS,Tablet,Standard Shipping,No,14,18,10,15,17,21,4689.02,6453.69,345.53,431.15,220.4,426.63,4123.1,5595.91,294.51,310.88,5.78%,6.26%,8.16%,7.91%,65.23%,65.09%
0822,NT,Darwin,Metro,Retail POS,Returning,Active,Apparel,Direct,Mobile,Standard Shipping,No,2,2,2,1,3,3,388.08,407.07,21.06,27.5,46.97,40.36,320.05,339.21,160.02,169.61,3.19%,3.58%,16.12%,17.26%,74.03%,76.53%
0822,NT,Darwin,Metro,Online Store,New,Active,Apparel,Organic Search,Tablet,Express Shipping,No,6,7,4,6,10,12,1297.44,1503.53,84.65,129.62,145.17,107.86,1067.62,1266.05,177.94,180.86,2.32%,2.40%,14.32%,11.91%,6.37%,12.36%
0822,NT,Darwin,Metro,Online Store,New,Reactivated,Beauty & Personal Care,Paid Social,Tablet,Standard Shipping,Yes,80,91,70,69,159,190,6275.34,7743.7,908.12,1140.93,145.6,137.37,5221.62,6465.4,65.27,71.05,2.33%,2.63%,3.90%,2.76%,5.03%,4.13%
0830,NT,Darwin,Metro,Online Store,Returning,High value,Accessories,Referral / Affiliate,Mobile,Standard Shipping,Yes,78,97,66,83,141,180,9009.34,11187.27,1417.53,1589.31,333.59,251.48,7258.21,9346.48,93.05,96.36,5.32%,5.53%,4.60%,3.50%,63.85%,67.86%
0830,NT,Darwin,Metro,Online Store,New,Reactivated,Beauty & Personal Care,Paid Search,Mobile,Standard Shipping,No,9,9,6,7,18,19,683.83,712.5,47.11,35.99,25.25,26.31,611.47,650.2,67.94,72.24,1.42%,1.60%,4.50%,6.07%,12.86%,18.43%
0830,NT,Darwin,Metro,Shop App,Returning,New customer,Home & Lifestyle,Paid Social,Mobile,Standard Shipping,No,6,7,5,5,8,10,1361.39,1676.65,123.86,162.04,26.67,30.12,1210.85,1484.49,201.81,212.07,3.49%,3.38%,3.30%,2.95%,74.53%,76.52%
0830,NT,Darwin,Metro,Social Commerce,New,Active,Apparel,Organic Search,Desktop,Standard Shipping,No,34,42,25,38,57,74,5147.51,6627.02,248.55,384.3,607.43,438.9,4291.53,5803.82,126.22,138.19,4.58%,5.36%,14.32%,12.02%,12.48%,15.51%
0839,NT,Darwin,Metro,Social Commerce,New,High value,Footwear,Paid Search,Tablet,Standard Shipping,No,5,5,4,4,6,6,1378.28,1589.38,98.8,150.11,127.45,116.97,1152.03,1322.31,230.41,264.46,4.46%,5.25%,10.98%,10.35%,12.99%,12.29%
0839,NT,Darwin,Metro,Shop App,Returning,Reactivated,Beauty & Personal Care,Direct,Desktop,Standard Shipping,No,12,16,10,14,24,34,1238.84,1703.1,59.78,80.69,45.15,82.02,1133.92,1540.39,94.49,96.27,2.54%,2.88%,4.63%,5.68%,70.56%,73.98%
0839,NT,Darwin,Metro,Retail POS,Returning,New customer,Accessories,Paid Search,Desktop,Express Shipping,No,7,8,6,6,12,13,699.5,901.09,72.59,110.99,10.43,15.26,616.48,774.83,88.07,96.85,4.61%,5.13%,2.09%,2.56%,64.27%,62.23%
